nivel_lectura,porcentaje_acierto_quiz,cantidad_lecciones_dominadas,nivel_dificultad_recomendado
Intermedio,92.93759891275857,6,Avanzada
Intermedio,55.67628930139298,2,Moderada
Básico,57.161268946989985,3,Moderada
Básico,27.997909366028416,2,Leve
Básico,76.94929331919369,6,Avanzada
Básico,18.704374855752338,2,Leve
Básico,32.367923640424365,2,Leve
Básico,42.54364386164168,4,Leve
Básico,50.7610378684455,5,Moderada
Avanzado,24.240973241508023,2,Leve
Avanzado,11.483682473920354,1,Leve
Avanzado,61.06200424416326,2,Moderada
Avanzado,28.863055324025577,0,Leve
Básico,58.123822142261226,3,Moderada
Avanzado,15.436271527420232,0,Leve
Básico,48.114010185481746,3,Moderada
Avanzado,53.258943255158584,3,Moderada
Intermedio,5.182353682242691,1,Leve
Avanzado,33.660427819392055,2,Leve
Avanzado,13.441467693897424,1,Leve
Básico,6.337497047276774,0,Leve
Avanzado,98.99602323899452,4,Avanzada
Intermedio,32.235384497472296,1,Leve
Básico,80.98744458546349,5,Avanzada
Básico,25.464065476376383,0,Leve
Avanzado,68.15027222239293,5,Avanzada
Básico,76.02278598896865,6,Avanzada
Básico,59.56387406078443,5,Moderada
Básico,47.15761885501584,3,Moderada
Básico,41.18409141472685,4,Moderada
Básico,34.88682665429953,2,Leve
Básico,92.95291442478259,5,Avanzada
Intermedio,83.06194077877291,4,Avanzada
Avanzado,96.50269106665125,5,Avanzada
Intermedio,12.429722348554472,0,Leve
Básico,73.08674752036443,5,Avanzada
Básico,93.83404568210378,6,Avanzada
Avanzado,18.123306616566015,1,Leve
Intermedio,6.6496267366777495,1,Leve
Avanzado,74.11206492900591,6,Moderada
Intermedio,57.44731131799119,5,Moderada
Básico,84.1828776758272,3,Avanzada
Avanzado,13.97723766262895,0,Leve
Avanzado,79.52673118598902,6,Avanzada
Básico,20.162732004774455,0,Leve
Avanzado,16.36559428657045,1,Leve
Intermedio,16.426579793099293,0,Leve
Intermedio,81.45747202313821,3,Avanzada
Intermedio,66.51972206962002,5,Moderada
Intermedio,52.30654247691193,4,Moderada
Básico,35.88304841235025,1,Leve
Avanzado,87.72005408131082,2,Avanzada
Intermedio,39.244510742263536,2,Moderada
Básico,81.65994394715771,5,Avanzada
Avanzado,43.91349085702184,1,Moderada
Avanzado,37.69444294249076,2,Moderada
Básico,46.26797856696064,3,Moderada
Básico,30.13778741641421,3,Leve
Intermedio,74.76093801762511,5,Moderada
Avanzado,50.27203900924791,2,Moderada
Avanzado,23.22126951468173,3,Leve
Básico,89.95745732745685,5,Avanzada
Avanzado,38.38912213732114,2,Moderada
Intermedio,54.35528611139886,2,Moderada
Avanzado,90.6472110964547,5,Avanzada
Básico,62.42379959139921,3,Moderada
Básico,11.689804070836407,0,Leve
Intermedio,93.98321236134751,6,Avanzada
Intermedio,62.770805307141785,2,Moderada
Avanzado,33.49056146570861,0,Leve
Avanzado,13.927207266338726,3,Leve
Básico,79.4025189270296,5,Avanzada
Intermedio,62.00727559285135,3,Moderada
Intermedio,53.34610919763215,4,Moderada
Intermedio,89.38925830509577,5,Avanzada
Avanzado,78.85972112245308,6,Avanzada
Intermedio,15.167487973275119,2,Leve
Básico,31.172206779554823,1,Leve
Básico,24.848913981446575,4,Leve
Avanzado,74.3946292572677,4,Avanzada
Avanzado,3.353243473577938,1,Leve
Intermedio,56.98896848713165,4,Moderada
Avanzado,76.24586857406905,6,Avanzada
Básico,87.67656367617495,6,Avanzada
Intermedio,34.20817487159075,2,Leve
Básico,82.12573046720128,4,Avanzada
Intermedio,11.063173695520723,1,Leve
Avanzado,84.64522917345182,4,Avanzada
Intermedio,12.748866233198243,3,Leve
Intermedio,39.72872905603673,3,Moderada
Básico,79.72953657795536,4,Avanzada
Básico,14.991742734877377,1,Leve
Intermedio,22.92513952326415,0,Leve
Avanzado,72.22525683930662,3,Moderada
Avanzado,72.00365365460743,6,Avanzada
Básico,64.11476328852973,3,Moderada
Avanzado,69.39484444671,3,Moderada
Básico,54.27244433475962,4,Moderada
Avanzado,25.179905890695274,3,Moderada
Intermedio,34.56959935039195,3,Moderada
Básico,18.159771680142565,2,Leve
Básico,90.84505613336283,5,Avanzada
Intermedio,58.339179476612046,2,Leve
Básico,40.08514167636399,4,Moderada
Avanzado,46.20058036441327,2,Moderada
Avanzado,94.72833396118153,5,Moderada
Básico,15.33514031160802,3,Leve
Avanzado,58.62298320167972,4,Moderada
Básico,50.5888678884466,4,Moderada
Intermedio,61.14542354346478,6,Avanzada
Básico,1.8110183820840509,0,Leve
Intermedio,87.21239089441515,6,Avanzada
Avanzado,93.21182824836124,6,Avanzada
Intermedio,56.51331835892089,4,Moderada
Avanzado,69.66508238768922,6,Avanzada
Básico,92.24993811772957,6,Avanzada
